,MESSAGE,SPAM
2348,That seems unnecessarily affectionate,False
762,Urgent Ur å£500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 å£1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,True
3298,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)",False
3104,Or remind me in a few hrs.,False
4241,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!,True
4194,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",True
2162,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",False
2144,FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts,True
4101,Ok then i will come to ur home after half an hour,False
5196,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic ",True
4435,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",False
2052,"Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!",True
488,"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2",False
3948,HMM yeah if your not too grooved out! And im looking forward to my pound special :),False
171,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",False
4616,Good. do you think you could send me some pix? I would love to see your top and bottom...,False
5537,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,True
1673,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,True
5081,\HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS åÐ FUCKINNICE!SELFISH,False
2919,"Thanx 4 the time weåÕve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx",False
5420,I dont know oh. Hopefully this month.,False
3314,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",True
4343,Hi:)did you asked to waheeda fathima about leave?,False
2,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,True
589,"I'm in a meeting, call me later at",False
4169,"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!",False
667,This pay is  &lt;DECIMAL&gt;  lakhs:),False
5170,I'm in school now n i'll be in da lab doing some stuff give me a call when Ì_ r done.,False
319,"Coffee cake, i guess...",False
2818,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*,False
3204,"Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home",False
4325,That seems unnecessarily hostile,False
5010,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,True
3258,"Congratulations! Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate",True
5401,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx,False
1807,Do have a nice day today. I love you so dearly.,False
737,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,True
4405,As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP,True
5468,"URGENT! Last weekend's draw shows that you have won å£1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm",True
5456,"\For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk\""""",True
4682,Ok u can take me shopping when u get paid =D,False
3981,His frens go then he in lor. Not alone wif my mum n sis lor.,False
3370,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,False
3319,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?,False
1764,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY å£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,True
5527,"Total disappointment, when I texted you was the craziest shit got :(",False
5205,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,True
138,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,True
540,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,True
454,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",True
65,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",True
3569,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,True
4473,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min,True
3336,I AM AT THE GAS STATION. GO THERE.,False
1978,No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.,False
1251,Please CALL 08712402779 immediately as there is an urgent message waiting for you,True
1061,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.,False
3295,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.,False
2073,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop",True
5061,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,False
4572,"\URGENT! This is the 2nd attempt to contact U!U have WON å£1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. maxå£7. 50\""""",True
4211,Missed call alert. These numbers called but left no message. 07008009200,True
4614,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,True
3389,Please CALL 08712402972 immediately as there is an urgent message waiting for you,True
4577,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+",True
4175,He's in lag. That's just the sad part but we keep in touch thanks to skype,False
3242,Pls accept me for one day. Or am begging you change the number.,False
4824,I am going to sleep. I am tired of travel.,False
577,ÌÏ wait 4 me in sch i finish ard 5..,False
1049,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,True
1156,Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee,False
1387,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.,False
3608,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.,False
2164,"Nothing really, just making sure everybody's up to speed",False
5443,You have won a guaranteed 32000 award or maybe even å£1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???,True
524,"URGENT!: Your Mobile No. was awarded a å£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",True
182,ok. I am a gentleman and will treat you with dignity and respect.,False
2211,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!",False
2879,"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16",True
414,100 dating service cal;l 09064012103 box334sk38ch,True
15,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",True
163,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,True
602,Speaking of does he have any cash yet?,False
4025,Oh ok.. Wat's ur email?,False
3904,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,True
2741,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,True
3560,Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX,True
