,MESSAGE,SPAM
0,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th,False
1,Can a not?,False
2,Ok set let u noe e details later...,False
3,YOU ARE CHOSEN TO RECEIVE A å£350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,True
4,Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx,False
5,Yeah so basically any time next week you can get away from your mom &amp; get up before 3,False
6,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.,False
7,I am going to sleep. I am tired of travel.,False
8,Wat time Ì_ finish?,False
9,Remember on that day..,False
10,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",True
11,"I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?",False
12,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",True
13,"whatever, im pretty pissed off.",False
14,Ok lar... Joking wif u oni...,False
15,"Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs",True
16,I cant pick the phone right now. Pls send a message,False
17,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,False
18,"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later.",False
19,Genius what's up. How your brother. Pls send his number to my skype.,False
20,Oic... Then better quickly go bathe n settle down...,False
21,R Ì_ comin back for dinner?,False
22,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",False
23,.Please charge my mobile when you get up in morning.,False
24,"Yeah sure, give me a couple minutes to track down my wallet",False
25,I thk 50 shd be ok he said plus minus 10.. Did Ì_ leave a line in between paragraphs?,False
26,He also knows about lunch menu only da. . I know,False
27,Hi dude hw r u da realy mising u today,False
28,Don know:)this week i'm going to tirunelvai da.,False
29,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.,False
30,He says hi and to get your ass back to south tampa (preferably at a kegger),False
31,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,False
32,But i'll b going 2 sch on mon. My sis need 2 take smth.,False
33,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx,True
34,"Me not waking up until 4 in the afternoon, sup",False
35,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,False
36,K...k:)why cant you come here and search job:),False
37,I went to project centre,False
38,Why do you ask princess?,False
39,Stupid.its not possible,False
40,I'm now but have to wait till 2 for the bus to pick me.,False
41,Realy sorry-i don't recognise this number and am now confused :) who r u please?! ,False
42,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da",False
43,K. I will sent it again,False
44,Id onluy matters when getting on from offcampus,False
45,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop",True
46,She went to attend another two rounds today..but still did't reach home..,False
47,Same. Wana plan a trip sometme then,False
48,"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight",False
49,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,True
50,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.",True
51,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! ,False
52,Can Ì_ all decide faster cos my sis going home liao..,False
53,"Night night, see you tomorrow",False
54,Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? ,False
55,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.,False
56,K..k:)how much does it cost?,False
57,What time do u get out?,False
58,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",False
59,Got meh... When?,False
60,Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx,False
61,They are just making it easy to pay back. I have  &lt;#&gt; yrs to say but i can pay back earlier. You get?,False
62,hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?,False
63,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes,False
64,The bus leaves at  &lt;#&gt; ,False
65,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,True
66,If he started searching he will get job in few days.he have great potential and talent.,False
67,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or å£10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+",True
68,Dear i have reache room,False
69,Oh yeah! And my diet just flew out the window,False
70,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,False
71,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.,False
72,Lemme know when you're here,False
73,I'm putting it on now. It should be ready for  &lt;TIME&gt; ,False
74,"\Happy valentines day\"" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...""",False
75,"Hi elaine, is today's meeting confirmed?",False
76,U buy newspapers already?,False
77,"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word",False
78,"No, but you told me you were going, before you got drunk!",False
79,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",True
80,Hai priya are you right. What doctor said pa. Where are you.,False
81,How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already Û_,False
82,"Height of \Oh shit....!!\"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay",False
83,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,False
84,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you,False
85,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,False
86,"Received, understood n acted upon!",False
87,We are both fine. Thanks,False
88,on hen night. Going with a swing,False
89,Thanx 4 sending me home...,False
90,If you're thinking of lifting me one then no.,False
91,I am not sure about night menu. . . I know only about noon menu,False
92,Sounds like something that someone testing me would sayy,False
93,"Sorry, I'll call later",False
94,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 ,True
95,You have WON a guaranteed å£1000 cash or a å£2000 prize.To claim yr prize call our customer service representative on,True
96,Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks,False
97,Nothing. Can...,False
98,Lol where do u come up with these ideas?,False
99,dont make ne plans for nxt wknd coz she wants us to come down then ok,False
100,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,True
101,Even my brother is not like to speak with me. They treat me like aids patent.,False
102,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",True
103,Really do hope the work doesnt get stressful. Have a gr8 day.,False
104,Leave it de:-). Start Prepare for next:-)..,False
105,"Yup, leaving right now, be back soon",False
106,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",True
107,happened here while you were adventuring,False
108,K:)i will give my kvb acc details:),False
109,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",False
110,"\AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.\""""",False
111,Tmr then Ì_ brin lar... Aiya later i come n c lar... Mayb Ì_ neva set properly Ì_ got da help sheet wif Ì_...,False
112,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.,False
113,we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery,True
114,If u dun drive then how i go 2 sch.,False
115,alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...,False
116,Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX,True
117,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,False
118,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,False
119,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?,False
120,URGENT! Your Mobile number has been awarded with a å£2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only,True
121,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. å£1.50 increments. Help08718728876",True
122,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour,False
123,Taka lor. Wat time u wan 2 come n look 4 us?,False
124,Apps class varaya elaya.,False
125,Mm feeling sleepy. today itself i shall get that dear,False
126,"\Response\"" is one of d powerful weapon 2 occupy a place in others 'HEART'... So",False
127,Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.,False
128,It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.,False
129,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.",False
